CBN-can-A1-20230705.jpg_patch_0.jpg;['1397535', '1392608', '1392611', '1391755', '1393659', '1394841', '1394630', '1741564', '1396843', '1741624'];['10.3970308303833', '9.397786736488342', '6.667628645896912', '6.338526219129562', '5.033699631690979', '4.458465218544006', '4.320781250794728', '3.9828729232152305', '3.080667734146118', '2.9165453910827637']
CBN-can-A1-20230705.jpg_patch_1.jpg;['1395807', '1392608', '1362396', '1360878', '1737491', '1394630', '1391755', '1397123', '1622901', '1391313'];['19.767025649547577', '13.54218759139379', '5.00595811009407', '3.211457312107086', '3.1307783126831055', '2.3733007311820984', '2.358491152524948', '2.062238488878523', '1.9684737920761108', '1.8616339936852455']
CBN-can-A1-20230705.jpg_patch_10.jpg;['1392608', '1412857', '1395807', '1742052', '1394554', '1742053', '1393659', '1391094', '1392611', '1391755'];['27.051412045955658', '4.782716155052185', '4.72992696080889', '4.142008611134121', '3.9576259553432465', '3.058019131422043', '2.5453927993774412', '2.445627967516581', '2.2614985704421997', '2.178917646408081']
CBN-can-A1-20230705.jpg_patch_11.jpg;['1392608', '1395943', '1394841', '1392323', '1391094', '1395974', '1390639', '1389929', '1393659', '1646254'];['35.621460914611816', '7.533567637205124', '7.079391111930211', '4.274682641029358', '4.106187224388123', '3.458113831281662', '3.185387134552002', '2.546842932701111', '2.501210743188858', '2.197252869606018']
CBN-can-A1-20230705.jpg_patch_12.jpg;['1362600', '1393496', '1389003', '1393494', '1392662', '1394630', '1646238', '1396408', '1737633', '1398310'];['5.143631219863892', '3.6431630849838257', '2.8487600088119507', '2.7510603070259094', '2.7497650384902954', '2.519728273153305', '2.496250629425049', '2.23832243680954', '2.0474746942520143', '1.8246617317199707']
CBN-can-A1-20230705.jpg_patch_13.jpg;['1393496', '1358379', '1394554', '1390659', '1741808', '1390539', '1489133', '1390269', '1389346', '1701831'];['7.466625372568767', '3.0298150777816772', '1.9469514787197113', '1.94242662191391', '1.7376660108566284', '1.6272204637527465', '1.5939440727233887', '1.5772313475608826', '1.5253900170326233', '1.4985528389612834']
CBN-can-A1-20230705.jpg_patch_14.jpg;['1392608', '1360299', '1392611', '1737658', '1737429', '1359632', '1398824', '1523674', '1392662', '1396307'];['37.63593006134033', '7.98054495879582', '7.809066146612167', '3.1691877245903015', '2.237429156899452', '1.6705089807510376', '1.6090772151947021', '1.3138376027345657', '1.2028605937957764', '1.1991804838180542']
CBN-can-A1-20230705.jpg_patch_15.jpg;['1362471', '1392608', '1395132', '1389929', '1394630', '1394359', '1393659', '1395990', '1360211', '1398723'];['9.40958046913147', '9.353725989659628', '4.8646857142448425', '4.252111077308655', '4.184546411037445', '4.095046401023865', '4.0758874118328094', '3.8014532327651978', '3.139203985532125', '2.9198526740074158']
CBN-can-A1-20230705.jpg_patch_2.jpg;['1396869', '1395807', '1396843', '1396858', '1394908', '1397500', '1391094', '1395097', '1361079', '1397535'];['12.949942409992218', '9.523246556520462', '6.85342812538147', '3.1822602947553', '3.017861247062683', '2.8795297145843506', '2.863283157348633', '2.788705587387085', '2.4270305931568146', '2.362155874570211']
CBN-can-A1-20230705.jpg_patch_3.jpg;['1395807', '1400132', '1392636', '1360269', '1362396', '1737429', '1391161', '1362745', '1481537', '1737491'];['24.08492660522461', '7.413316011428833', '5.052334785461426', '4.5772742827733355', '3.5702006816864014', '2.788496971130371', '2.699730545282364', '2.6005882918834686', '2.4736897945404053', '2.223254770040512']
